 기업명::경력,학력::근무지,근무형태::기업규모::평균연봉::분류코드
 (주)위메이드엔터테인먼트 ::신입/경력(연차무관)학력무관::경기 성남시	정규직::중견기업::4,126::17111
 현대오토에버(주) ::경력4년↑학력무관::서울 영등포구	정규직::대기업::6,573::17111
 (주)씨티엔에스 ::신입/경력3년미만학력무관::경남 창원시	정규직	2,600~2,800만원::중소기업::2,871::17111
 주식회사 더블티 ::경력(연차무관)대졸이상::경기 수원시	정규직::중소기업::3,579::17111
 커리어커넥트(주) ::경력8년↑초대졸이상::서울 서초구	정규직::중소기업::None::17111
 주식회사 아정네트웍스 ::신입/경력3~10년대졸이상::경기 성남시	정규직	4,000~5,000만원::중소기업::2,753::17111
 (주)핀커스코리아 ::경력6~15년초대졸::서울 영등포구	정규직::중소기업::None::17111
 (주)핀커스코리아 ::경력5~15년초대졸::서울 영등포구	정규직::중소기업::None::17111
 (주)핀커스코리아 ::경력3~5년대졸::서울 강동구	정규직::중소기업::None::17111
 장애인채용센터 ::경력1년↑학력무관::경기 성남시	정규직::중소기업::None::17111
 (주)위메이드엔터테인먼트 ::경력2년↑학력무관::경기 성남시	정규직::중견기업::4,126::17111
 (주)솔루게이트 ::신입/경력(연차무관)학력무관::서울 금천구	정규직외::중소기업::4,069::17111
 (주)노랑풍선 ::경력2년↑학력무관::서울 중구	정규직::중견기업::2,917::17111
 파워에이치알 ::경력5~15년대졸이상::서울	정규직::중소기업::None::17111
 (주)코디얼 ::신입/경력(연차무관)초대졸이상::서울 강서구	정규직::중소기업::5,253::17111
 (주)중외정보기술 ::경력3년↑학력무관::서울 금천구	계약직외::중소기업::4,407::17111
 에스에프인촌 주식회사 ::경력2~7년대졸이상::경기 성남시 분당구 외	정규직::중소기업::None::17111
 코웨이(주) ::경력5년↑학력무관::서울 구로구	정규직::중견기업::None::17111
 비전서치 ::경력6~17년초대졸::서울 성동구 외	정규직::중소기업::None::17111
 (주)아이브릭스 ::경력3~15년학력무관::경기 성남시	정규직외::중소기업::4,376::17111
 구글코리아(유) ::경력5년↑대졸이상::서울 강남구	정규직::중소기업::6,803::17111
 오진상사(주) ::신입/경력15년미만초대졸이상::서울 서대문구 외	정규직::중견기업::3,876::17111
 (주)야놀자 ::경력5년↑학력무관::서울 강남구	정규직::중견기업::5,254::17111
 (주)제이앤피메디 ::신입대졸이상::서울 강남구 외	인턴::중소기업::4,509::17111
 백제약품 ::신입/경력(연차무관)대졸::서울 구로구	정규직::중견기업::4,631::17111
 주식회사 직방 ::경력3년↑학력무관::서울 종로구	정규직::중소기업::None::17111
 엘고 ::신입/경력(연차무관)학력무관::부산 사하구	정규직::중소기업::3,496::17111
 (주)헤리티지서치코어 ::경력3~10년초대졸이상::서울 금천구	정규직::중소기업::None::17111
 (주)케이에스에이솔루션 ::신입/경력(연차무관)학력무관::부산 강서구	정규직::중소기업::2,518::17111
 현대오토에버(주) ::경력3년↑학력무관::서울 강남구 외	정규직::대기업::6,573::17111
 피플워크(주) ::경력4~12년대졸이상::서울 강남구	정규직::중소기업::None::17111
 피플워크(주) ::경력5~17년대졸이상::서울	정규직::중소기업::None::17111
